"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03"
"Corona Valley","Eastvale","CA","Riverside","Riverside",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485000,476850,460000,469900,485000,489900,488000,491710,499000,499888,498000,495000,485000,495000,490000,490000,495000,495000,497000,499000,499450,509900,504500,503944,5e+05,499949.5,498999,507845,510000
"North Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",211,499900,524750,525000,529000,519900,514900,5e+05,499000,5e+05,499000,499000,489000,489900,499000,498500,499900,489000,499000,475000,469000,467000,474500,450000,439900,449945,467250,471700,469000,466000,475000,469000,439900,439000,475000,498500,533000,539000,549000,580000,599000,599000,599000,577750,574950,599000,6e+05,599000,638500,635000,629900,599500,654500,639000,639000,685000,685000,620000,598750,665000,697000,670000,719000,699000,725000,766950,749750,689600,722500,742500,739000,750000,750000,725000,749999,790000
"Bayside","Virginia Beach","VA","Virginia Beach","Virginia Beach City",212,217000,212000,215000,210000,210000,214950,219250,214950,214950,210000,205000,199900,199900,2e+05,190000,185000,194477.5,194900,190000,191000,195000,195000,190500,190000,195810,189900,199949.5,199900,199500,199000,189900,189900,189900,189000,199900,2e+05,2e+05,199900,205000,209900,196000,199900,214925,214900,214900,216450,210000,215000,219900,220000,223000,229900,225000,229900,225000,228500,224700,219950,219000,215000,215000,226500,224950,228475,229900,234450,240950,239000,238500,229450,229900,225000,224950,219900,229000
"Green Valley North","Henderson","NV","Las Vegas","Clark",213,139000,141042.5,144950,140000,140000,140000,140000,138950,139000,133650,118500,113950,109900,109000,108500,107000,106080,104900,104900,109900,109999,109900,110600,107000,108500,120000,120000,119950,129990,135000,130000,130000,139900,135000,148400,144800,146900,150000,158500,167000,168250,170000,165000,179500,184947.5,190000,180000,185000,184900,199900,194950,2e+05,209950,215000,210000,224950,225000,229994.5,225000,220000,220000,225000,229945,230000,239500,244900,246384,240000,245000,244950,244900,239900,237500,242750,252500
"Cragin","Chicago","IL","Chicago","Cook",214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184900,179900,184900,176950,199900,215000,199900,212150,220000,212150,210000,214500,199999,210000,223450,199950,2e+05,2e+05,210000,209900,214950,219500,219900,229450,247500,250000,249900,249700,249900
"Anaheim Hills","Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","Orange",215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659000,692000,677000,669450,699888,677500,659900,675000,685000,666950,659900,674999,699000,669000,719000,689500,699000,699945,699900,698500,704999.5,699000,712450,699900,699777,699900,714950,722200,705000
"Arleta","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,355000,362450,360000,359900,359700,369000,369450,380000,380000,375000,374500,374500,380000,389925,389990,389970,399000,398000,399000,399000,399000,402400,402400,422375,425000,425000,427450,429950
"Berryessa","San Jose","CA","San Jose","Santa Clara",217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649870,650000,628888,633444,638000,638000,699500,678000,658000,686500,699950,717500,722500,698500,699888,735000,743944,758000,749975,779000,792000,798444,798000,799000,799888,817500,810000,8e+05,780000
"Silver Lake","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798000,798500,749000,795000,799000,785000,849000,849500,869000,769500,859000,799000,765000,769000,759000,759999.5,749700,769900,784940,774050,799000,778200,789000,863500,921250,899000,904450,899000,899000
"Olney","Philadelphia","PA","Philadelphia","Philadelphia",219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77950,79900,79950,80000,80000,79900,84450,84900,81450,79950,79900,84900,84999,74900,75250,79900,80000,81850,81650,79900,79900,78449.5,79000,79000,77499.5,78499.5,83350,79900,79900,79900
"Powers","Colorado Springs","CO","Colorado Springs","El Paso",220,210000,214900,208800,214900,212000,212900,212700,215000,219000,215900,210900,210000,208850,205900,204253.5,199900,200700,212150,214900,215000,2e+05,199900,199900,189200,187250,187500,189900,198850,198850,199900,199900,199500,204900,2e+05,215000,215000,218500,216650,220000,225000,225000,224900,222000,222000,220275,220000,225000,224950,224950,224900,227499,232900,234995,234995,239900,239900,243900,244949.5,240000,249800,254900,250000,249900,252500,249900,245000,249900,249450,249900,249900,254900,258450,267500,259900,261497.5
"North Cheyenne","Las Vegas","NV","Las Vegas","Clark",221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164500,160000,159650,155000,159000,160000,164950,168000,179000,179000,179990,180000,178900,175000,184900,180000,185000,189900,199000,194949.5,189900,197000,194500,199450,199990,199999.5,195000,197500,199900,199900
"Charleston Heights","Las Vegas","NV","Las Vegas","Clark",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,105000,1e+05,108500,105000,110000,110000,110000,110000,119000,120000,119450,125000,127999,130000,130000,135400,135000,135450,135900,134500,135000,139900
"Lake View East","Chicago","IL","Chicago","Cook",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279450,274450,269900,279000,275500,275000,269450,277250,269900,275000,274900,277000,269000,270000,269000,268000,269450,275000,260750,259900,259000,250000,250000,259000,265000,277000,269450,282500,279000
"St. Albans","New York","NY","New York","Queens",224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355000,359000,359999,375000,378900,375000,370000,375000,379000,379900,379000,379000,379000,379000,389000,389999.5,389000,375000,374999,379000,379000,379000,385000,380000,389000,389000,396000,398000,380000,382500,375000,382500,389000,389000,410000,398000,399000,419000,429999,439999
"East Reno","Reno","NV","Reno","Washoe",225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144900,140000,140000,149700,149500,169000,160000,160950,169000,167000,179000,170900,189900,169900,180000,184900,181450,185000,195850,215450,220000,219500,229000,224900,217500,222450,200999.5,200950,223500
"Throggs Neck","New York","NY","New York","Bronx",226,,,,,,,359999,359000,375000,399000,377000,365000,329450,329460.5,365000,369250,369500,382450,379900,359000,349000,349000,339000,329000,337000,349000,367000,360000,349000,349000,319000,349000,349000,349000,398000,375000,379000,386000,389000,379000,379000,379000,379000,389000,399000,399000,399000,399000,399000,399000,399000,4e+05,399000,429000,429000,429000,409000,390000,409000,419000,399000,379499.5,379999,389000,429000,469000,469000,469000,440000,439000,395000,399000,425000,432500,425000
"Hollis","New York","NY","New York","Queens",227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399999,419499.5,419000,419000,429000,429000,425000,399000,395000,399999.5,405000,407000,419000,429000,419999,419000,424999,425000,429000
"North Center","Chicago","IL","Chicago","Cook",228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377000,376950,399900,425000,424900,427000,445900,438500,430000,439000,441150,429000,409000,419900,439000,432900,444000,450000,469000,479000,467000,459999.5,459900,444900,459000,425000,429900,449000,465000,484500,489000,485000,499900,507450,525000,579000,595000,549000,525000,550000
"Rancho Charleston","Las Vegas","NV","Las Vegas","Clark",229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,124900,129500,130000,129000,122330,121000,129900,139700,145000,142000,141000,141000,148250,149900,146775,137950,136000,145000,152500,159000,159900,158500,150000,154000,150000,150000,150000,147500,149900,150000,159995
"Southwest Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",230,325000,325000,327499.5,340000,330000,349000,359900,376000,374950,329999.5,310000,299900,279000,295000,275000,3e+05,325000,325000,339000,325000,321997.5,324000,324900,303950,319950,325000,334900,380000,379450,329500,339950,340000,347450,349000,389900,390000,399000,395000,395000,417000,399500,369950,424950,410750,425000,384900,424000,399900,394750,399950,399949.5,414900,419000,430000,419900,419000,422500,410000,399000,388000,399700,387400,409950,445000,459950,471950,462500,445000,444500,437750,459000,469964,499000,499900,494500
"South Loop","Chicago","IL","Chicago","Cook",231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320000,325000,325000,344900,325000,348000,349000,342450,349000,354900,349900,349985,320000,299700,314950,349000,345000,345000,346880,335000,329900,329900,339900,339900,347900,349450,346450,334900,349900
"South Boston","Boston","MA","Boston","Suffolk",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499450,489000,469000,469000,499000,499900,507200,519000,512000,529000,559000,595000,549000,549000,550000,549000,569000,581500,569000,551000,539900,536950,569000,599000,599999,599000,639000,622258.5,599000,599000,589000,594900,579000,599000,599000,599000,599900
"Cobbs Creek","Philadelphia","PA","Philadelphia","Philadelphia",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,74950,74950,75000,74900,73750,75000,75000,74950,77000,76500,75000,74900,69000,71000,69900,69900,69900,69000,64950,69000,65000,68500,68000,69000,69700,69950,66900,65000
