neighborhood_id,blkgrp_year,gisjoin,percent_inside
407,2010,G41005100004012,100
322,2010,G41005100004022,27.847
407,2010,G41005100004022,72.153
147,2010,G41005100005013,0.318
322,2010,G41005100005013,99.682
68,2010,G41005100085001,0.002
341,2010,G41005100085001,0.001
137,2010,G41005100085001,0.101
380,2010,G41005100085001,0.002
437,2010,G41005100085001,99.894
68,2010,G41005100086001,0.046
147,2010,G41005100086001,99.816
322,2010,G41005100086001,0.138
68,2010,G41005100006012,100
344,2010,G41005100092011,99.906
437,2010,G41005100092011,0.094
344,2010,G41005100092022,1.462
342,2010,G41005100092022,98.538
282,2010,G41005100094004,0.053
289,2010,G41005100094004,75.926
367,2010,G41005100094004,5.647
36,2010,G41005100094004,18.374
342,2010,G41005100097012,100
173,2010,G41005100029011,0
331,2010,G41005100029011,99.99
362,2010,G41005100029011,0.01
350,2010,G41005100010001,0.034
347,2010,G41005100010001,99.966
352,2010,G41005100012014,100
319,2010,G41005100013014,0.006
315,2010,G41005100013014,0.086
328,2010,G41005100013014,99.907
328,2010,G41005100013013,100
279,2010,G41005100032004,0.019
280,2010,G41005100032004,0.015
382,2010,G41005100032004,71.405
383,2010,G41005100032004,28.561
59,2010,G41005100032002,29.581
365,2010,G41005100032002,22.21
382,2010,G41005100032002,48.208
383,2010,G41005100032002,0.002
368,2010,G41005100034013,99.986
384,2010,G41005100034013,0.014
368,2010,G41005100034012,52.865
384,2010,G41005100034012,0
60,2010,G41005100034012,47.134
437,2010,G41005100016023,0.291
314,2010,G41005100016023,99.709
277,2010,G41005100034021,0.004
368,2010,G41005100034021,0.006
384,2010,G41005100034021,55.549
60,2010,G41005100034021,44.441
364,2010,G41005100035012,100
60,2010,G41005100036011,0.333
276,2010,G41005100036011,35.092
59,2010,G41005100036011,64.576
276,2010,G41005100036023,45.792
59,2010,G41005100036023,40.075
365,2010,G41005100036023,14.133
173,2010,G41005100017021,6.708
344,2010,G41005100017021,0.012
314,2010,G41005100017021,93.28
314,2010,G41005100017022,100
275,2010,G41005100037022,0.036
368,2010,G41005100037022,54.782
60,2010,G41005100037022,45.182
275,2010,G41005100038011,46.922
224,2010,G41005100038011,0.117
269,2010,G41005100038011,52.96
363,2010,G41005100038011,0
352,2010,G41005100021001,31.69
319,2010,G41005100021001,64.178
311,2010,G41005100021001,2.932
34,2010,G41005100021001,1.103
312,2010,G41005100021001,0.097
319,2010,G41005100020002,99.99
315,2010,G41005100020002,0.01
277,2010,G41005100022031,63.344
265,2010,G41005100022031,9.869
364,2010,G41005100022031,1.611
384,2010,G41005100022031,25.176
277,2010,G41005100022032,96.437
384,2010,G41005100022032,0.002
60,2010,G41005100022032,0.055
278,2010,G41005100022032,3.506
277,2010,G41005100022034,88.512
278,2010,G41005100022034,11.488
279,2010,G41005100025016,37.536
278,2010,G41005100025016,0.012
280,2010,G41005100025016,62.427
383,2010,G41005100025016,0.026
278,2010,G41005100025014,99.993
280,2010,G41005100025014,0.007
40,2010,G41005100041012,100
40,2010,G41005100041024,100
374,2010,G41005100003013,0.003
375,2010,G41005100003013,99.896
438,2010,G41005100003013,0.101
350,2010,G41005100011012,0.169
352,2010,G41005100011012,99.831
251,2010,G41005100104071,0.038
53,2010,G41005100104071,76.445
38,2010,G41005100104071,0.034
71,2010,G41005100104071,23.482
296,2010,G41005100101001,100
344,2010,G41005100094005,0.001
36,2010,G41005100094005,98.958
418,2010,G41005100094005,1.042
149,2010,G41000500228003,99.719
126,2010,G41000500228003,0.008
113,2010,G41000500228003,0.151
339,2010,G41000500228003,0.042
128,2010,G41000500238005,0.131
123,2010,G41000500238005,45.773
148,2010,G41000500238005,53.879
89,2010,G41000500238005,0.124
