neighborhood_id,tract_year,tract_id,percent_inside
193,1990,416.0,12.841
201,1990,416.0,4.408
160,1990,416.0,52.464
48,1990,416.0,29.346
50,1990,416.0,0.305
360,1990,416.0,0.63
387,1990,416.0,0.002
424,1990,416.0,0.005
231,1990,413.06,0.039
333,1990,413.06,2.913
336,1990,413.06,0.081
338,1990,413.06,0.025
396,1990,413.06,0
397,1990,413.06,27.152
399,1990,413.06,54.572
400,1990,413.06,0.853
102,1990,423.0,2.219
100,1990,423.0,0.687
394,1990,423.0,0.006
403,1990,423.0,97.036
427,1990,423.0,0.052
102,1990,425.0,33.666
261,1990,425.0,0.111
361,1990,425.0,0.768
403,1990,425.0,0.008
427,1990,425.0,63.644
164,1990,425.0,1.787
202,1990,425.0,0.016
239,1990,412.04,0.047
213,1990,412.04,0.021
212,1990,412.04,23.24
160,1990,412.04,2.826
231,1990,412.04,0.007
395,1990,412.04,6.03
396,1990,412.04,30.877
398,1990,412.04,12.005
399,1990,412.04,0.796
401,1990,412.04,0.027
439,1990,412.04,14.686
440,1990,412.04,4.826
198,1990,426.0,38.602
361,1990,426.0,25.046
98,1990,426.0,6.661
174,1990,426.0,2.865
153,1990,426.0,0.021
193,1990,426.0,0
164,1990,426.0,19.271
201,1990,426.0,1.041
202,1990,426.0,0.009
388,1990,426.0,0.017
389,1990,426.0,0
104,1990,310.04,0.092
107,1990,310.04,99.85
76,1990,310.04,0.001
245,1990,310.04,0.024
97,1990,310.04,0.033
76,1990,309.0,8.38
35,1990,309.0,0
20,1990,309.0,0.217
366,1990,309.0,77.763
97,1990,309.0,13.639
175,1990,208.0,32.5
230,1990,208.0,0.001
184,1990,208.0,17.858
186,1990,208.0,0.101
172,1990,208.0,25.714
244,1990,208.0,0.071
181,1990,208.0,3.681
190,1990,208.0,0.005
37,1990,208.0,0.001
158,1990,208.0,17.179
185,1990,208.0,2.725
191,1990,208.0,0.164
203,1990,406.02,0.001
386,1990,406.02,0
393,1990,406.02,0.01
114,1990,323.0,81.714
51,1990,323.0,4.109
412,1990,323.0,5.366
104,1990,323.0,0.011
223,1990,323.0,8.8
324,1990,57.0,52.118
434,1990,57.0,47.882
177,1990,104.06,0.015
56,1990,104.06,0.001
189,1990,104.06,0.001
251,1990,104.06,60.314
53,1990,104.06,39.667
38,1990,104.06,0.002
5,1990,413.08,0.009
337,1990,413.08,0.012
335,1990,413.08,0.009
386,1990,413.08,0.006
241,1990,413.08,0.018
239,1990,413.08,0.046
399,1990,413.08,0.004
425,1990,413.08,25.845
426,1990,413.08,35.769
335,1990,413.11,0
209,1990,413.11,2.238
215,1990,413.11,6.035
103,1990,413.11,10.552
246,1990,413.11,1.358
386,1990,413.11,21.421
330,1990,413.11,0.869
393,1990,413.11,15.006
426,1990,413.11,0.06
163,1990,413.09,23.46
235,1990,413.09,14.316
11,1990,413.09,7.064
5,1990,413.09,5.281
103,1990,413.09,17.317
246,1990,413.09,4.669
241,1990,413.09,21.965
239,1990,413.09,0.003
425,1990,413.09,0.016
114,1990,318.01,0.006
51,1990,318.01,0.001
104,1990,318.01,12.711
245,1990,318.01,0.024
223,1990,318.01,87.204
32,1990,318.01,0.053
97,1990,318.01,0
72,1990,99.03,0.044
137,1990,99.03,55.975
299,1990,99.03,0.014
416,1990,99.03,2.34
422,1990,99.03,41.428
43,1990,99.03,0.19
301,1990,99.03,0.01
68,1990,89.0,23.585
125,1990,89.0,0.006
341,1990,89.0,6.378
137,1990,89.0,69.893
422,1990,89.0,0.001
437,1990,89.0,0.067
0,1990,89.0,0
49,1990,89.0,0.003
301,1990,89.0,0.068
68,1990,6.02,99.984
147,1990,6.02,0.002
322,1990,6.02,0.015
434,1990,60.02,3.481
194,1990,60.02,89.475
391,1990,60.02,7.043
69,1990,310.03,0.004
107,1990,310.03,21.458
76,1990,310.03,0
245,1990,310.03,0
67,1990,310.03,78.535
35,1990,310.03,0.003
32,1990,310.03,0
189,1990,104.07,0.346
251,1990,104.07,23.508
249,1990,104.07,1.709
192,1990,104.07,11.477
162,1990,104.07,0.001
53,1990,104.07,43.849
38,1990,104.07,0.015
71,1990,104.07,19.097
350,1990,11.02,91.143
324,1990,11.02,5.432
352,1990,11.02,0.129
434,1990,11.02,3.296
261,1990,419.0,53.915
394,1990,419.0,9.276
403,1990,419.0,0.007
404,1990,419.0,33.023
427,1990,419.0,0.037
202,1990,419.0,1.372
216,1990,419.0,0.113
270,1990,72.01,0.026
40,1990,72.01,0.845
411,1990,72.01,60.951
248,1990,72.01,0.002
7,1990,413.07,12.032
6,1990,413.07,0.001
333,1990,413.07,0.919
338,1990,413.07,7.714
393,1990,413.07,4.548
400,1990,413.07,4.179
402,1990,413.07,6.205
198,1990,424.0,0.995
102,1990,424.0,93.687
100,1990,424.0,0.528
361,1990,424.0,0
213,1990,430.0,36.439
160,1990,430.0,0.002
389,1990,430.0,0
401,1990,430.0,47.577
405,1990,430.0,14.164
424,1990,430.0,0.041
439,1990,430.0,1.777
84,1990,333.0,12.272
85,1990,333.0,3.178
250,1990,333.0,83.939
81,1990,333.0,0.611
213,1990,429.0,36.811
193,1990,429.0,0.002
160,1990,429.0,2.451
389,1990,429.0,30.635
401,1990,429.0,0.003
405,1990,429.0,0.07
424,1990,429.0,30.029
198,1990,428.0,0
361,1990,428.0,0.002
98,1990,428.0,5.827
213,1990,428.0,0.024
174,1990,428.0,0.224
153,1990,428.0,31.088
193,1990,428.0,10.7
164,1990,428.0,0.01
387,1990,428.0,16.413
388,1990,428.0,19.918
389,1990,428.0,10.782
405,1990,428.0,0.004
31,1990,328.0,0.025
250,1990,328.0,40.08
81,1990,328.0,0.001
412,1990,328.0,0.016
442,1990,328.0,59.878
68,1990,7.02,0
322,1990,7.02,0.014
348,1990,7.02,99.983
436,1990,7.02,0.003
438,1990,7.02,0
240,1990,410.06,23.446
10,1990,410.06,76.543
385,1990,410.06,0.011
114,1990,330.0,49.52
83,1990,330.0,37.176
31,1990,330.0,0.018
84,1990,330.0,0.01
85,1990,330.0,13.255
412,1990,330.0,0.005
99,1990,104.05,99.561
251,1990,104.05,0.35
53,1990,104.05,0.089
377,1990,205.01,0.054
41,1990,205.01,2.405
58,1990,205.01,0.18
135,1990,205.01,2.68
262,1990,205.01,72.224
284,1990,205.01,10.88
287,1990,205.01,0
313,1990,205.01,8.582
93,1990,219.0,72.429
61,1990,219.0,27.553
106,1990,219.0,0.018
164,1990,417.0,0.016
201,1990,417.0,0.056
48,1990,417.0,0.339
202,1990,417.0,36.123
50,1990,417.0,0.072
360,1990,417.0,63.394
323,1990,97.01,0
342,1990,97.01,99.906
101,1990,97.01,0.094
342,1990,97.02,60.784
72,1990,97.02,22.687
101,1990,97.02,16.529
115,1990,230.0,5.506
145,1990,230.0,2.123
120,1990,230.0,26.39
78,1990,230.0,2.796
110,1990,230.0,15.426
92,1990,230.0,0.034
219,1990,230.0,46.503
226,1990,230.0,1.218
112,1990,235.0,1.164
78,1990,235.0,0.208
140,1990,235.0,68.106
124,1990,235.0,7.214
142,1990,235.0,23.28
86,1990,235.0,0.009
43,1990,235.0,0.015
111,1990,235.0,0.003
110,1990,207.0,0.134
262,1990,207.0,2.246
284,1990,207.0,0.002
313,1990,207.0,95.464
339,1990,207.0,0.445
87,1990,225.0,6.827
165,1990,225.0,0
92,1990,225.0,9.783
144,1990,225.0,34.467
74,1990,225.0,2.705
58,1990,225.0,0.022
219,1990,225.0,3.794
413,1990,225.0,22.677
188,1990,225.0,12.391
313,1990,225.0,0.582
410,1990,225.0,6.75
149,1990,227.01,0.178
126,1990,227.01,32.356
113,1990,227.01,26.42
121,1990,227.01,37.437
259,1990,227.01,0.036
321,1990,227.01,0.003
339,1990,227.01,3.567
373,1990,227.01,0.001
120,1990,226.0,0.004
110,1990,226.0,54.817
88,1990,226.0,8.028
87,1990,226.0,7.002
108,1990,226.0,5.375
165,1990,226.0,4.45
144,1990,226.0,0
219,1990,226.0,4.432
226,1990,226.0,8.791
413,1990,226.0,0.033
188,1990,226.0,4.552
313,1990,226.0,0.165
339,1990,226.0,0.549
410,1990,226.0,1.692
163,1990,431.0,23.556
246,1990,431.0,4.995
98,1990,431.0,11.868
213,1990,431.0,40.19
212,1990,431.0,0.024
389,1990,431.0,0.007
405,1990,431.0,17.764
283,1990,43.0,0.089
274,1990,43.0,27.515
273,1990,43.0,0.818
271,1990,43.0,0.261
353,1990,43.0,15.115
40,1990,43.0,0.079
357,1990,43.0,47.49
358,1990,43.0,0.13
364,1990,43.0,0.265
371,1990,43.0,0.053
428,1990,43.0,8.184
163,1990,412.01,33.975
246,1990,412.01,8.901
241,1990,412.01,0.003
