GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ABDOE001,ABDOE002,ABDOE003,ABDOE004,ABDOE005,ABDOE006,ABDOE007,ABDOE008,ABDOE009,ABDOE010,ABDOE011,ABDOE012,ABDOE013,ABDOE014,ABDOE015,ABDOE016,ABDOE017,ABDPE001,NAME_M,ABDOM001,ABDOM002,ABDOM003,ABDOM004,ABDOM005,ABDOM006,ABDOM007,ABDOM008,ABDOM009,ABDOM010,ABDOM011,ABDOM012,ABDOM013,ABDOM014,ABDOM015,ABDOM016,ABDOM017,ABDPM001,GEOID10
"G53003300312061","2010-2014",,,"Washington","53","King County","033",,,"031206","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 312.06, King County, Washington",450,37,43,10,18,49,27,7,50,16,43,11,47,76,7,9,0,43182,"Block Group 1, Census Tract 312.06, King County, Washington",94,36,63,16,22,40,40,11,54,18,44,16,45,60,12,14,12,11285,"530330312061"
"G53003300312062","2010-2014",,,"Washington","53","King County","033",,,"031206","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 312.06, King County, Washington",636,10,0,8,0,29,34,21,62,8,7,84,151,51,78,63,30,86667,"Block Group 2, Census Tract 312.06, King County, Washington",80,17,12,15,12,25,25,32,57,13,12,44,73,36,53,35,27,11080,"530330312062"
"G53003300312063","2010-2014",,,"Washington","53","King County","033",,,"031206","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 312.06, King County, Washington",654,14,31,0,7,103,43,35,54,24,17,105,138,35,25,9,14,57292,"Block Group 3, Census Tract 312.06, King County, Washington",85,16,38,12,11,70,44,45,47,26,20,56,60,40,22,14,21,26798,"530330312063"
"G53003300313011","2010-2014",,,"Washington","53","King County","033",,,"031301","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 313.01, King County, Washington",491,0,6,13,6,61,18,6,12,52,22,43,75,70,22,60,25,76625,"Block Group 1, Census Tract 313.01, King County, Washington",60,12,9,19,10,33,16,9,12,33,18,27,37,35,17,42,20,12012,"530330313011"
"G53003300313012","2010-2014",,,"Washington","53","King County","033",,,"031301","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 313.01, King County, Washington",499,15,0,11,41,51,0,6,7,5,47,42,63,41,84,42,44,83698,"Block Group 2, Census Tract 313.01, King County, Washington",67,16,12,9,39,37,12,9,10,7,32,25,43,26,61,25,37,22098,"530330313012"
"G53003300313021","2010-2014",,,"Washington","53","King County","033",,,"031302","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 313.02, King County, Washington",359,7,0,0,13,9,0,41,24,11,49,15,63,38,6,21,62,82917,"Block Group 1, Census Tract 313.02, King County, Washington",68,10,12,12,20,15,12,40,30,16,42,17,38,30,10,22,57,34413,"530330313021"
"G53003300313022","2010-2014",,,"Washington","53","King County","033",,,"031302","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 313.02, King County, Washington",381,42,0,22,26,20,19,0,37,0,17,43,23,23,23,49,37,60938,"Block Group 2, Census Tract 313.02, King County, Washington",82,45,12,35,25,16,21,12,33,12,25,42,22,21,22,30,35,23073,"530330313022"
"G53003300313023","2010-2014",,,"Washington","53","King County","033",,,"031302","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 313.02, King County, Washington",406,0,30,25,34,26,22,31,48,27,41,19,45,35,8,15,0,43523,"Block Group 3, Census Tract 313.02, King County, Washington",60,12,22,23,31,23,25,35,32,22,29,21,33,22,13,17,12,5716,"530330313023"
"G53003300313024","2010-2014",,,"Washington","53","King County","033",,,"031302","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 313.02, King County, Washington",464,77,36,24,35,0,20,18,45,0,17,54,48,17,23,29,21,43722,"Block Group 4, Census Tract 313.02, King County, Washington",81,60,30,22,40,12,21,20,34,12,20,40,40,21,37,37,28,12857,"530330313024"
"G53003300314001","2010-2014",,,"Washington","53","King County","033",,,"031400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 314, King County, Washington",302,0,30,26,17,56,0,62,5,8,0,8,0,19,71,0,0,37959,"Block Group 1, Census Tract 314, King County, Washington",116,12,35,31,28,95,12,61,10,15,12,13,12,30,92,12,12,26022,"530330314001"
