GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,GEOID10
"G53003300201001","2010","Washington","53","King County","033","020100","1",1294.00,1294,1294,1308,"530330201001"
"G53003300201002","2010","Washington","53","King County","033","020100","2",924.94,910,925,885,"530330201002"
"G53003300201003","2010","Washington","53","King County","033","020100","3",1014.35,663,1016,963,"530330201003"
"G53003300202001","2010","Washington","53","King County","033","020200","1",1241.00,1241,1241,1214,"530330202001"
"G53003300202002","2010","Washington","53","King County","033","020200","2",1271.00,1271,1271,1192,"530330202002"
"G53003300202003","2010","Washington","53","King County","033","020200","3",945.00,945,945,924,"530330202003"
"G53003300202004","2010","Washington","53","King County","033","020200","4",1048.47,988,1049,1044,"530330202004"
"G53003300202005","2010","Washington","53","King County","033","020200","5",1118.00,1118,1118,1192,"530330202005"
"G53003300203001","2010","Washington","53","King County","033","020300","1",1298.77,1058,1395,1259,"530330203001"
"G53003300203002","2010","Washington","53","King County","033","020300","2",1272.23,1176,1513,1124,"530330203002"
"G53003300203003","2010","Washington","53","King County","033","020300","3",989.00,989,989,1001,"530330203003"
"G53003300203004","2010","Washington","53","King County","033","020300","4",1118.00,1118,1118,1285,"530330203004"
"G53003300203005","2010","Washington","53","King County","033","020300","5",1403.00,1403,1403,1765,"530330203005"
"G53003300204011","2010","Washington","53","King County","033","020401","1",1683.50,1679,1843,1624,"530330204011"
"G53003300204012","2010","Washington","53","King County","033","020401","2",1044.76,891,1049,1005,"530330204012"
"G53003300204013","2010","Washington","53","King County","033","020401","3",816.00,816,816,797,"530330204013"
"G53003300204021","2010","Washington","53","King County","033","020402","1",1409.00,1409,1409,1279,"530330204021"
"G53003300204022","2010","Washington","53","King County","033","020402","2",1099.74,1094,1100,907,"530330204022"
"G53003300204023","2010","Washington","53","King County","033","020402","3",732.00,732,732,722,"530330204023"
"G53003300204024","2010","Washington","53","King County","033","020402","4",1015.00,1015,1015,1023,"530330204024"
"G53003300204025","2010","Washington","53","King County","033","020402","5",1246.00,1246,1246,1437,"530330204025"
"G53003300205001","2010","Washington","53","King County","033","020500","1",1361.00,1361,1361,1444,"530330205001"
"G53003300205002","2010","Washington","53","King County","033","020500","2",1076.00,1076,1076,1045,"530330205002"
"G53003300205003","2010","Washington","53","King County","033","020500","3",1201.00,1201,1201,1189,"530330205003"
"G53003300205004","2010","Washington","53","King County","033","020500","4",1010.00,1010,1010,825,"530330205004"
"G53003300205005","2010","Washington","53","King County","033","020500","5",860.00,860,860,1022,"530330205005"
"G53003300205006","2010","Washington","53","King County","033","020500","6",818.00,818,818,802,"530330205006"
"G53003300206001","2010","Washington","53","King County","033","020600","1",888.00,888,888,957,"530330206001"
"G53003300206002","2010","Washington","53","King County","033","020600","2",1072.00,1072,1072,1049,"530330206002"
"G53003300206003","2010","Washington","53","King County","033","020600","3",842.00,842,842,864,"530330206003"
"G53003300206004","2010","Washington","53","King County","033","020600","4",832.00,832,832,791,"530330206004"
